name,id,area_ha
Trout Lake,nhd_13343906,1565.1
Crystal Lake,nhd_13344284,37.5
Big Muskellunge Lake,nhd_13344170,363.4
Sparkling Lake,nhd_13344210,63.7
Allequash Lake,nhd_13344056,164.2
Trout Bog,nhdh_69886158,1.0
Crystal Bog,nhdh_69886472,0.6
Lake Mendota,nhd_13293262,3961.2
Fish Lake,nhd_13631637,80.4
Lake Monona,nhd_143249640,1359.8
Lake Wingra,nhd_13293322,136.2
